Host,Species,Assembly,SRA_Accession,Submitters,Release_Date,Isolate,Genus,Family,Molecule_type,Sequence_Type,Genotype,Segment,Publications,Geo_Location,Country,USA,Isolation_Source,Collection_Date,BioSample,GenBank_Title,Species_superkingdom,Species_clade,Species_kingdom,Species_phylum,Species_class,Species_order,Species_family,Species_genus,Species_species,Species_no rank,Host_no rank,Host_superkingdom,Host_clade,Host_kingdom,Host_phylum,Host_subphylum,Host_superclass,Host_class,Host_infraclass,Host_order,Host_family,Host_genus,Host_species,Host_superorder,Host_suborder,Host_subfamily,Host_superfamily,Host_subspecies,Host_subclass,Host_cohort,Host_infraorder,Host_tribe,Host_subgenus,Host_parvorder,Host_subcohort
Acartia tonsa,Acartia tonsa copepod circovirus,GCF_000905055.1,NA,"Dunlap,D.S., Ng,T.F., Rosario,K., Barbosa,J.G., Greco,A.M., Breitbart,M., Hewson,I., Dunlap,D.",2015-02-22T18:38:38Z,154_D11,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,"USA: Tampa Bay, FL",USA,FL,NA,2010-06-20,NA,ViralProj186432,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Acartia tonsa copepod circovirus,unclassified Circovirus,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Crustacea,Multicrustacea,Multicrustacea,Neocopepoda,Gymnoplea,Acartiidae,Acartia,Acartia tonsa,Gymnoplea,,,,,Copepoda,,,,,,
Aedes vexans,Mosquito circovirus,GCF_000943745.1,NA,"Garigliany,M.M., Borstler,J., Jost,H., Badusche,M., Desmecht,D., Schmidt-Chanasit,J., Cadar,D., Garigliany,M.",2015-03-04T11:05:34Z,NA,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Germany,Germany,NA,NA,2013,NA,ViralProj276254,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Mosquito circovirus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Arthropoda,Hexapoda,Insecta,Insecta,Neoptera,Diptera,Culicoidea,Aedes,Aedes vexans,,Nematocera,Culicinae,Culicoidea,,Pterygota,Endopterygota,Culicomorpha,Aedini,Aedimorphus,,
Aiptasia,Aiptasia sp. sea anemone associated circular virus,GCF_001274085.1,NA,"Rosario,K., Schenck,R.O., Harbeitner,R.C., Lawler,S.N., Breitbart,M.",2015-08-26T01:03:03Z,I0007C2,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,NA,NA,NA,NA,NA,NA,ViralProj293720,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Aiptasia sp. sea anemone associated circular virus,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Cnidaria,,Anthozoa,Anthozoa,,Actiniaria,Aiptasiidae,Aiptasia,,,,,,,Hexacorallia,,,,,,
Amphibola crenata,Avon-Heathcote Estuary associated circular virus 19,GCF_000955195.1,NA,"Dayaram,A., Goldstien,S., Arguello-Astorga,G.R., Zawar-Reza,P., Gomez,C., Harding,J.S., Varsani,A., Arguello Astorga,G.R.",2015-03-17T13:00:47Z,AHEaCV-19-NZ-4942GA-2012,NA,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,New Zealand,New Zealand,NA,NA,2012,NA,ViralProj277501,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,,Avon-Heathcote Estuary associated circular virus 19,unclassified Circoviridae,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Mollusca,,Gastropoda,Gastropoda,,,Amphiboloidea,Amphibola,Amphibola crenata,,,,Amphiboloidea,,Heterobranchia,,,,,,
Anas platyrhynchos,Duck associated cyclovirus 1,GCF_002194385.1,NA,"Feher,E., Kaszab,E., Lengyel,G., Banyai,K.",2017-06-15T01:01:13Z,NA,Cyclovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,NA,Hungary,Hungary,NA,feces,2013,NA,ViralProj390418,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Cyclovirus,Duck associated cyclovirus 1,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,Neognathae,Galloanserae,Anatidae,Anas,Anas platyrhynchos,Galloanserae,,Anatinae,,,,,,,,,
Anas platyrhynchos,Duck circovirus,GCF_000864045.1,NA,"Banda,A., Galloway-Haskins,R.I., Sandhu,T.S., Schat,K.A.",2015-02-13T08:24:28Z,33753-52,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,USA,USA,NA,NA,NA,NA,ViralProj15558,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Duck circovirus,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,Neognathae,Galloanserae,Anatidae,Anas,Anas platyrhynchos,Galloanserae,,Anatinae,,,,,,,,,
Anguilla anguilla,Anguilla anguilla circovirus,GCF_000915975.1,NA,"Doszpoly,A., Tarjan,Z.L., Glavits,R., Muller,T., Benko,M.",2015-02-22T18:51:24Z,Ba1,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Hungary,Hungary,NA,NA,2009-09-21,NA,ViralProj237138,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Anguilla anguilla circovirus,unclassified Circovirus,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Actinopterygii,Actinopterygii,Teleostei,Anguilliformes,Anguillidae,Anguilla,Anguilla anguilla,,,,,,Neopterygii,,,,,,
Anser sp.,Goose circovirus,GCF_000837325.1,NA,"Todd,D., Weston,J.H., Soike,D., Smyth,J.A.",2015-02-12T16:30:12Z,NA,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,Germany,Germany,NA,NA,NA,NA,ViralProj14125,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Goose circovirus,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,Neognathae,Galloanserae,Anatidae,Anser,Anser sp.,Galloanserae,,Anserinae,,,,,,,,,
Apodemus chevrieri,Rodent associated circovirus 2,GCF_004788015.1,NA,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2021-06-01T15:56:27Z,RtAc-CV-2/GZ2015,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China,China,NA,NA,2015-12,NA,ASM478801v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Rodent associated circovirus 2,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Muridae,Apodemus,Apodemus chevrieri,Euarchontoglires,Myomorpha,Murinae,,,,,,,,,
Apodemus draco,Rodent associated circovirus 6,GCF_004787975.1,NA,"Wu,Z., Lu,L., Du,J., Yang,L., Ren,X., Liu,B., Jiang,J., Yang,J., Dong,J., Sun,L., Zhu,Y., Li,Y., Zheng,D., Zhang,C., Su,H., Zheng,Y., Zhou,H., Zhu,G., Li,H., Chmura,A., Yang,F., Daszak,P., Wang,J., Liu,Q., Jin,Q.",2021-06-01T15:56:09Z,RtAd-CV/SAX2015,Circovirus,Circoviridae,ssDNA(+/-),RefSeq,NA,NA,1,China,China,NA,NA,2015-06,NA,ASM478797v1,Viruses,Monodnaviria,Viruses,Cressdnaviricota,Arfiviricetes,Cirlivirales,Circoviridae,Circovirus,Rodent associated circovirus 6,,cellular organisms,Eukaryota,Opisthokonta,Eukaryota,Chordata,Craniata,Sarcopterygii,Sarcopterygii,,Euarchontoglires,Muridae,Apodemus,Apodemus draco,Euarchontoglires,Myomorpha,Murinae,,,,,,,,,
