Assembly,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Sequence_Type,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
GCF_002603885.1,,"Duhaime,M.B., Sullivan,M.B.",2020-06-19T13:34:15.413Z,,Pseudoalteromonas virus HP1,Melvirus,Zobellviridae,dsDNA,RefSeq,,,,Germany,Germany,,Pseudoalteromonas,,,,ASM260388v1
GCF_003843605.1,,"Bischoff,V., Bunk,B., Meier-Kolthoff,J.P., Sproer,C., Poehlein,A., Dogs,M., Nguyen,M., Petersen,J., Daniel,R., Overmann,J., Goker,M., Simon,M., Brinkhoff,T., Moraru,C.",2020-06-19T12:46:43.413Z,,Lentibacter virus ICBM1,Siovirus,Zobellviridae,dsDNA,RefSeq,,,1,Germany,Germany,,Lentibacter,,2015-03,,ASM384360v1
GCF_003843585.1,,"Bischoff,V., Bunk,B., Meier-Kolthoff,J.P., Sproer,C., Poehlein,A., Dogs,M., Nguyen,M., Petersen,J., Daniel,R., Overmann,J., Goker,M., Simon,M., Brinkhoff,T., Moraru,C.",2020-06-19T12:46:31.663Z,,Lentibacter virus vB_LenP_ICBM2,Siovirus,Zobellviridae,dsDNA,RefSeq,,,1,Germany,Germany,,Lentibacter,,2015-03,,ASM384358v1
GCF_001755545.1,,"Zhang,F., Pan,X., Yang,H.",2016-10-09T01:04:25.123Z,,Pseudomonas phage O4,Paundecimvirus,Zobellviridae,dsDNA,RefSeq,,,,,,,Pseudomonas aeruginosa PAO1,,,,ViralProj344603
GCF_001308795.2,,"Tikhe,C.V., Martin,T.M., Gissendanner,C.R., Husseneder,C., Gissenedanner,C., Martin,T.",2015-10-21T01:04:26.573Z,,Citrobacter virus CVT22,Citrovirus,Zobellviridae,dsDNA,RefSeq,,,1,USA,USA,,Citrobacter sp. TM1552,,,,ViralProj298062
GCF_000921695.1,,"Seed,K.D., Yen,M., Shapiro,B.J., Hilaire,I.J., Charles,R.C., Teng,J.E., Ivers,L.C., Boncy,J., Harris,J.B., Camilli,A.",2015-02-22T19:00:01.800Z,,Vibrio phage ICP2_2013_A_Haiti,,Zobellviridae,dsDNA,RefSeq,,,1,,,,Vibrio cholerae,,,,ViralProj260486
GCF_000907495.1,,"Hardies,S.C., Hwang,Y.J., Hwang,C.Y., Jang,G.I., Cho,B.C.",2015-02-22T18:40:31.690Z,,Pseudoalteromonas virus RIO1,Melvirus,Zobellviridae,dsDNA,RefSeq,,,1,,,,Pseudoalteromonas marina,,,,ViralProj206039
GCF_000900975.1,,"Shen,P.S., Domek,M.J., Sanz-Garcia,E., Makaju,A., Taylor,R.M., Hoggan,R., Culumber,M.D., Oberg,C.J., Breakwell,D.P., Prince,J.T., Belnap,D.M., Taylor,R., Culumber,M.",2015-02-22T18:28:54.213Z,,Salinivibrio virus CW02,Salinovirus,Zobellviridae,dsDNA,RefSeq,,,1,"USA: Great Salt Lake, Utah",USA,UT,Salinivibrio costicola,,,,ViralProj181992
GCF_000898435.1,,"Kang,I., Jang,H., Oh,H.M., Cho,J.C., Cho,J.-C.",2015-02-22T18:24:44.447Z,,Celeribacter virus P12053L,Siovirus,Zobellviridae,dsDNA,RefSeq,,,1,South Korea,South Korea,,Celeribacter marinus,,2010-03-16,,ViralProj171980
GCF_000890655.1,,"Seed,K.D., Bodi,K.L., Kropinski,A.M., Ackermann,H.W., Calderwood,S.B., Qadri,F., Camilli,A.",2015-02-22T18:13:50.423Z,,Vibrio virus ICP2,Icepovirus,Zobellviridae,dsDNA,RefSeq,,,1,,,,Vibrio cholerae,,,,ViralProj63231
GCF_000867045.1,,"Kwan,T., Liu,J., Dubow,M., Gros,P., Pelletier,J., DuBow,M.",2015-02-13T08:28:07.430Z,,Pseudomonas virus PA11,Paundecimvirus,Zobellviridae,dsDNA,RefSeq,,,1,,,,Pseudomonas aeruginosa,,,,ViralProj16386
GCF_000843265.1,,"Hardies,S.C., Comeau,A.M., Serwer,P., Suttle,C.A.",2015-02-12T16:36:21.990Z,,Vibrio virus VpV262,Vipivirus,Zobellviridae,dsDNA,RefSeq,,,1,,,,Vibrio parahaemolyticus,,,,ViralProj14316
GCF_000843225.1,,"Rohwer,F.L., Segall,A.M., Steward,G., Seguritan,V., Breitbart,M., Wolven,F., Azam,F.",2015-02-12T16:36:19.240Z,,Roseobacter virus SIO1,Siovirus,Zobellviridae,dsDNA,RefSeq,,,,,,,Roseobacter,,,,ViralProj14308
GCF_002288695.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-09-10T01:00:11.073Z,,Beihai yuyuevirus,Yuyuevirus,Yueviridae,ssRNA(-),RefSeq,,,1,China,China,,Sesarmidae,,2014,,ViralMultiSegProj358989
GCF_001960175.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-20T01:05:55.653Z,,Shahe yuyuevirus,Yuyuevirus,Yueviridae,ssRNA(-),RefSeq,,,1,China,China,,Isopoda,,2013,,ViralMultiSegProj361814
GCF_003673905.1,,"Fauver,J.R., Grubaugh,N.D., Krajacich,B.J., Weger-Lucarelli,J., Lakin,S.M., Fakoli,L.S. Jr., Bolay,F.K., Diclaro,J.W. Jr., Dabire,K.R., Foy,B.D., Brackney,D.E., Ebel,G.D., Stenglein,M.D., Fauver,J.",2021-06-01T15:50:01.220Z,,Bolahun anphevirus,Anphevirus,Xinmoviridae,ssRNA(-),RefSeq,,,1,Liberia,Liberia,,Anopheles gambiae,pooled insects,2013,,ASM367390v1
GCF_003673765.1,,"Li,C.X., Shi,M., Tian,J.H., Lin,X.D., Kang,Y.J., Chen,L.J., Qin,X.C., Xu,J., Holmes,E.C., Zhang,Y.Z., Li,C.-X., Tian,J.-H., Lin,X.-D., Kang,Y.-J., Qin,X.-C., Chen,L.-J.",2021-06-01T15:49:51.837Z,,Shuangao anphevirus,Anphevirus,Xinmoviridae,ssRNA(-),RefSeq,,,1,China,China,,Psychoda alternata,,2013,,ASM367376v1
GCF_003673805.1,,"Longdon,B., Murray,G.G.R., Palmer,W.J., Day,J.P., Parker,D.J., Welch,J.J., Obbard,D.J., Jiggins,F.M.",2019-06-28T15:06:47.333Z,,Drosophilid anphevirus,Anphevirus,Xinmoviridae,ssRNA(-),RefSeq,,,,France,France,,Drosophila unispina,,2012,,ASM367380v1
GCF_001968675.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-20T01:19:56.627Z,,Odonate anphevirus,Anphevirus,Xinmoviridae,ssRNA(-),RefSeq,,,1,China,China,,Odonata,,2013,,ViralProj361666
GCF_001966595.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-20T01:17:15.307Z,,Dipteran anphevirus,Anphevirus,Xinmoviridae,ssRNA(-),RefSeq,,,1,China,China,,Diptera,,2013,,ViralProj362055
GCF_001964815.1,,"Shi,M., Lin,X.D., Tian,J.H., Chen,L.J., Chen,X., Li,C.X., Qin,X.C., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Xu,J., Holmes,E.C., Zhang,Y.Z., Buchmann,J.P., Xu,J.G.",2017-01-20T01:14:42.120Z,,Orthopteran anphevirus,Anphevirus,Xinmoviridae,ssRNA(-),RefSeq,,,1,China,China,,Orthoptera,,2013,,ViralProj362121
GCF_001755005.1,,"Li,C.X., Shi,M., Tian,J.H., Lin,X.D., Kang,Y.J., Chen,L.J., Qin,X.C., Xu,J., Holmes,E.C., Zhang,Y.Z., Li,C.-X., Tian,J.-H., Lin,X.-D., Kang,Y.-J., Qin,X.-C., Chen,L.-J.",2016-10-09T01:03:23.227Z,,Xincheng anphevirus,Anphevirus,Xinmoviridae,ssRNA(-),RefSeq,,,1,China,China,,Anopheles sinensis,,2013,,ViralProj344329
GCF_003972765.1,,"Li,C.X., Shi,M., Tian,J.H., Lin,X.D., Kang,Y.J., Chen,L.J., Qin,X.C., Xu,J., Holmes,E.C., Zhang,Y.Z., Li,C.-X., Tian,J.-H., Lin,X.-D., Kang,Y.-J., Qin,X.-C., Chen,L.-J., Chen,X., Li,J., Cao,J.P., Eden,J.S., Buchmann,J., Wang,W., Zhang,Y.-Z.",2019-06-28T15:07:48.657Z,,Millipede wumivirus,Wumivirus,Wupedeviridae,ssRNA(-),RefSeq,,,2,China,China,,,,2013,,ASM397276v1
GCF_004131245.2,,"Salgado O,H., De La Torre A,R., Sanchez N,J., Pallas,V.",2019-11-13T18:10:48.680Z,Nopal_hec Mex,Opuntia virus 2,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,,Mexico,Mexico,,Opuntia ficus-indica,,2016-05,,ASM413124v2
GCF_002868675.1,,"Solovyev,A.G., Savenkov,E.I., Agranovsky,A.A., Morozov,S.Y., Karasev,A.V., Novikov,V.K., Lunina,N.A., Loginov,S., Tyulkina,L.G., Solovyev,A.",2019-06-28T15:02:53.853Z,,Poa semilatent virus,Hordeivirus,Virgaviridae,ssRNA(+),RefSeq,,,2,,,,,,,,ASM286867v1
GCF_002868655.1,,"Ong,J.W.L., Phillips,R.D., Dixon,K.W., Jones,M.G.K., Wylie,S.J.",2019-06-28T15:02:49.127Z,Canning Mills,Drakaea virus A,Goravirus,Virgaviridae,ssRNA(+),RefSeq,,,,Australia,Australia,,Drakaea livida,,2012-09,,ASM286865v1
GCF_004131125.1,,"Debat,H.J.",2019-02-12T14:05:04.173Z,SC,Nephila clavipes virus 4,,Virgaviridae,ssRNA(+),RefSeq,,,1,USA,USA,,,,2013-07-21,,ASM413112v1
GCF_004131105.1,,"Debat,H.J.",2019-02-12T14:04:30.500Z,SC,Nephila clavipes virus 3,,Virgaviridae,ssRNA(+),RefSeq,,,1,USA,USA,,,,2013-07-21,,ASM413110v1
GCF_002988095.1,,"Solovyev,A.G., Solovyev,A.",2018-08-26T16:19:22.970Z,,Lychnis ringspot virus,Hordeivirus,Virgaviridae,ssRNA(+),RefSeq,,,,,,,,,,,ASM298809v1
GCF_002868635.1,,"Shirako,Y., Suzuki,N., French,R.C.",2018-08-26T15:52:04.790Z,JT,Japanese soil-borne wheat mosaic virus,Furovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,,,,,,,,ASM286863v1
GCF_002830965.1,,"Ladipo,J., Koenig,R., Lesemann,D.-E.",2018-08-26T15:38:05.817Z,,Tobacco latent virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,,,,,,,,,ASM283096v1
GCF_002145505.1,,"Vanderspool,M.C., D'Elia,T., Fillmer,K., Baker,C.A., Lowenberg,M., Pongam,P., Adkins,S.",2017-05-17T01:00:08.437Z,12-415,Hoya chlorotic spot virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,,USA: FL,USA,FL,Hoya wayetii,,2012,,ViralProj386294
GCF_001654245.1,,"Fillmer,K., Adkins,S., Pongam,P., D'Elia,T., Vanderspool,M.C., Caroll,M.",2016-06-02T01:00:47.480Z,Okeechobee,Tropical soda apple mosaic virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,USA: FL,USA,FL,Solanum viarum,,2002,,ViralProj322841
GCF_001502195.2,,"Gil,J.F., Adams,I., Boonham,N., Nielsen,S.L., Nicolaisen,M.",2016-03-06T01:00:16.047Z,IS9,Colombian potato soil-borne virus,Pomovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,Colombia,Colombia,,Nicotiana benthamiana,,2010,,ViralMultiSegProj307784
GCF_001461485.1,,"Salem,N., Mansour,A., Ciuffo,M., Falk,B.W., Turina,M., Salem,N.M., Mansour,A.N.",2015-12-05T01:03:27.867Z,Tom1-Jo,Tomato brown rugose fruit virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,Jordan,Jordan,,Solanum lycopersicum,,2015-04-17,,ViralProj304915
GCF_000973375.1,,"Kumar,A., Mandal,B.",2015-04-18T01:02:03.753Z,Plu-Ind-1,Plumeria mosaic virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,,India,India,,Plumeria rubra,plant leaf,2010-04-08,,ViralProj281398
GCF_000929655.1,,"Marzano,S.-Y.L., Nelson,B.D., Ajayi-Oyetunde,O., Bradley,C.A., Hughes,T.J., Hartman,G.L., Eastburn,D.M., Domier,L.L., Marzano,S.L., Hobbs,H.A.",2015-02-22T19:10:55.880Z,,Macrophomina phaseolina tobamo-like virus,,Virgaviridae,ssRNA(+),RefSeq,,,,,,,,,2003,,ViralProj267781
GCF_000925375.1,,"Yoshida,T., Kitazawa,Y., Komatsu,K., Neriya,Y., Ishikawa,K., Fujita,N., Hashimoto,M., Maejima,K., Yamaji,Y., Namba,S.",2015-02-22T19:03:50.703Z,J,Hibiscus latent Fort Pierce virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,,,,Hibiscus,,,,ViralProj264910
GCF_000921435.1,,"Atsumi,G., Tomita,R., Yamashita,T., Sekine,K.T.",2015-02-22T18:59:35.900Z,S,Gentian ovary ringspot virus,Goravirus,Virgaviridae,ssRNA(+),RefSeq,,,1,Japan:Iwate,Japan,,Gentiana triflora,,,,ViralMultiSegProj256090
GCF_000912435.1,,"Wylie,S.J., Li,H., Jones,M.G., Jones,M.G.K.",2015-02-22T18:48:35.073Z,Cervantes,Yellow tailflower mild mottle virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,Australia,Australia,,Anthocercis littorea,,2012-11-01,,ViralProj227475
GCF_000911995.1,,"Li,R., Gao,S., Fei,Z., Ling,K.S., Ling,K.-S.",2015-02-22T18:48:05Z,MX5,Tomato mottle mosaic virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,Mexico,Mexico,,Solanum lycopersicum,,2009,,ViralProj217881
GCF_000896575.1,,"Wei,K., Gibbs,A.J., Maclenzie,A.M.",2015-02-22T18:22:10.133Z,Larrimah,Clitoria yellow mottle virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,,Australia: Northern Territory,Australia,,Clitoria ternatea,,1995-04,,ViralProj80771
GCF_000895695.1,,"Kim,N.R., Hong,J.S., Song,Y.S., Chung,B.N., Park,J.W., Ryu,K.H.",2015-02-22T18:21:01.510Z,,Rattail cactus necrosis-associated virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,South Korea,South Korea,,Disocactus flagelliformis,,2010-08-01,,ViralProj78929
GCF_000892095.1,,"Song,Y.S., Ryu,K.H.",2015-02-22T18:15:29.560Z,,Passion fruit mosaic virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,USA,USA,,Passiflora incarnata,,,,ViralProj67109
GCF_000887655.1,,"Lim,M.A., Hong,J.S., Song,Y.S., Ryu,K.H.",2015-02-22T18:10:26.700Z,FrMV-P,Frangipani mosaic virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,,,,Plumeria rubra,,,,ViralProj53499
GCF_000883515.1,,"Min,B.E., Song,Y.S., Ryu,K.H.",2015-02-22T18:05:01.127Z,CMMoV-Kr,Cactus mild mottle virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,,,,Gymnocalycium mihanovichii,,,,ViralProj33485
GCF_000879495.1,,"Ilmberger,N., Willingmann,P., Adam,G., Heinze,C.",2015-02-22T18:00:49.393Z,2373,Brugmansia mild mottle virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,,,,,Brugmansia x candida,,,,ViralProj30157
GCF_000873425.1,,"Rhie,M.J., Min,B.E., Hong,J.S., Song,Y.S., Ryu,K.H.",2015-02-13T08:38:27.730Z,,Bell pepper mottle virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,Netherlands,Netherlands,,Solanum melongena,,,,ViralProj20059
GCF_000870525.1,,"Zhang,Z.C., Lei,C.Y., Zhang,L.F., Yang,X.X., Chen,R., Zhang,D.S., Zhang,Z., Lei,C., Zhang,L., Yang,X., Zhang,D.",2015-02-13T08:33:59.580Z,Henan,Rehmannia mosaic virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,China,China,,Rehmannia glutinosa,,,,ViralProj18885
GCF_000870125.1,,"Heinze,C., Lesemann,D.E., Ilmberger,N., Willingmann,P., Adam,G.",2015-02-13T08:33:04.980Z,,Streptocarpus flower break virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,,,,,,,,ViralProj17803
GCF_000869625.1,,"Orita,H., Sakai,J., Kubota,K., Okuda,M., Tanaka,Y., Hanada,K., Imamura,Y., Nishiguchi,M., Karasev,A.V., Miyata,S., Iwanami,T.",2015-02-13T08:32:20.587Z,,Cucumber mottle virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,,,,,,,,,ViralProj18331
GCF_000868765.1,,"Song,Y.S., Min,B.E., Hong,J.S., Rhie,M.J., Kim,M.J., Ryu,K.H.",2015-02-13T08:30:12.723Z,,Maracuja mosaic virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,Peru,Peru,,Passiflora edulis,,,,ViralProj18531
GCF_000867565.1,,"Niu,S., Cao,S., Wong,S.M., Srinivasan,K.G., Min,B.E., Ryu,K.H., Adkins,S., Narendrakumar,R., Wen,Y., Low,L.H.",2015-02-13T08:28:44.897Z,Singapore,Hibiscus latent Singapore virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,3,,Singapore,,Hibiscus,,2001-08-08,,ViralProj17573
GCF_000859905.1,,"Ryu,K.H., Park,W.M.",2015-02-13T08:20:37.617Z,18KDa coat protein,Odontoglossum ringspot virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,,,,,,,,ViralProj15201
GCF_000859845.1,,"Yoon,J.Y., Min,B.E., Choi,J.K., Ryu,K.H.",2015-02-13T08:20:33.197Z,ZGMMV-K,Zucchini green mottle mosaic virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,South Korea,South Korea,,,,,,ViralProj15189
GCF_000859645.1,,"Alonso,E., Garcia-Luque,I., de la Cruz,A., Wicke,B., Avila-Rincon,M.J., Serra,M.T., Castresana,C., Diaz-Ruiz,J.R.",2015-02-13T08:20:21.993Z,,Pepper mild mottle virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,,,,,,,,ViralProj15148
GCF_000859605.1,,"Yoon,J.Y., Min,B.E., Choi,S.H., Ryu,K.H.",2015-02-13T08:20:18.480Z,,Kyuri green mottle mosaic virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,Japan,Japan,,,,,,ViralProj15140
GCF_000856005.1,,"Diao,A., Chen,J., Gitton,F., Antoniw,J.F., Mullins,J., Hall,A.M., Adams,M.J.",2015-02-13T08:15:39.847Z,,Oat golden stripe virus,Furovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,United Kingdom,United Kingdom,,Avena sativa,,,SAMEA3283056,ViralMultiSegProj15093
GCF_000855885.1,,"MacFarlane,S.A., Taylor,S.C., King,D.I., Hughes,G., Davies,J.W., Goulden,M.G., Lomonossoff,G.P., Wood,K.R.",2015-02-13T08:15:11.110Z,SP5,Pea early-browning virus,Tobravirus,Virgaviridae,ssRNA(+),RefSeq,,,2,,,,,,,,ViralMultiSegProj15067
GCF_000855725.1,,"Gustafson,G., Armour,S.L., Gamboa,G.C., Burgett,S.G., Shepherd,J.W., Hunter,B., Hanau,R., Jackson,A.O.",2015-02-13T08:14:18.680Z,,Barley stripe mosaic virus,Hordeivirus,Virgaviridae,ssRNA(+),RefSeq,,,3,,,,,,,,ViralMultiSegProj15031
GCF_000855145.1,,"Koenig,R., Pleij,C.W., Beier,C., Commandeur,U.",2015-02-12T16:48:28.190Z,,Beet virus Q,Pomovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,,,,Beta vulgaris,,,,ViralMultiSegProj15091
GCF_000854645.1,,"Chavan,R.R., Cohen,D., Blouin,A.G., Pearson,M.N.",2015-02-12T16:48:02.270Z,R14,Ribgrass mosaic virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,Germany,Germany,,Plantago major,,2009-04-21,,ViralProj14980
GCF_000854365.1,,"Morozov,S.Yu., Denisenko,O.N., Zelenina,D.A., Fedorkin,O.N., Solovyev,A.G., Maiss,E., Casper,R., Atabekov,J.G., Goelet,P., Lomonossoff,G.P., Butler,P.J., Akam,M.E., Gait,M.J., Karn,J.",2015-02-12T16:47:46.923Z,,Tobacco mosaic virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,2,,,,,,,,ViralProj15071
GCF_000853745.1,,"Hamada,H., Takeuchi,S., Morita,Y., Sawada,H., Kiba,A., Hikichi,Y., Matsumoto,K.",2015-02-12T16:47:19.030Z,,Paprika mild mottle virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,,,,,,,,,ViralProj14935
GCF_000853705.1,,"Lee,S.M., Smith,G.A., Polkinghorne,I.G.",2015-02-12T16:47:18.930Z,Queensland,Tomato mosaic virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,,Australia: Queensland,Australia,,Solanum lycopersicum,,,,ViralProj14926
GCF_000852885.1,,"Bergh,S.T., Koziel,M.G., Huang,S.C., Thomas,R.A., Gilley,D.P., Siegel,A., Pena,D.",2015-02-12T16:46:14.643Z,,Pepper ringspot virus,Tobravirus,Virgaviridae,ssRNA(+),RefSeq,,,1,,,,,,,,ViralMultiSegProj14777
GCF_000852505.1,,"Aguilar,I., Sanchez,F., Martin Martin,A., Martinez-Herrera,D., Ponz,F.",2015-02-12T16:45:43.727Z,,Youcai mosaic virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,,,,Brassica napus,,,,ViralProj14869
GCF_000852265.1,,"Ikeda,R., Watanabe,E., Watanabe,Y., Okada,Y.",2015-02-12T16:45:16.243Z,,Obuda pepper virus,Tobamovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,,,,,,,,ViralProj14817
GCF_000851945.1,,"Koenig,R., Loss,S., Commandeur,U., Beier,C., Kaufmann,A., Lesemann,D.E., Luth,U., Luddecke,P.",2015-02-12T16:44:46.243Z,,Beet soil-borne virus,Pomovirus,Virgaviridae,ssRNA(+),RefSeq,,,3,,,,,,,,ViralMultiSegProj14751
GCF_000851445.1,,"Visser,P.B., Bol,J.F., Hernandez,C., Mathis,A., Brown,D.J.",2015-02-12T16:44:14.040Z,PpK20,Tobacco rattle virus,Tobravirus,Virgaviridae,ssRNA(+),RefSeq,,,1,,,,,,,,ViralMultiSegProj14808
GCF_000851105.1,,"Miller,J.S., Wesley,S.V., Naidu,R.A., Reddy,D.V., Mayo,M.A., Sawyer,S., Deom,C.M.",2015-02-12T16:43:55.313Z,,Indian peanut clump virus,Pecluvirus,Virgaviridae,ssRNA(+),RefSeq,,,2,,,,Arachis,,,,ViralMultiSegProj14882
GCF_000851065.1,,"Lu,X., Yamamoto,S., Tanaka,M., Hibi,T., Namba,S.",2015-02-12T16:43:54.070Z,,Broad bean necrosis virus,Pomovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,,,,,,,,ViralMultiSegProj14870
GCF_000850905.1,,"Shirako,Y., Suzuki,N., French,R.C.",2015-02-12T16:43:46.700Z,,Sorghum chlorotic spot virus,Furovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,,,,,,,,ViralMultiSegProj14835
GCF_000850685.1,,"Savenkov,E.I., Sandgren,M., Valkonen,J.P., Germundsson,A.",2015-02-12T16:43:37.327Z,Swedish (Sw),Potato mop-top virus,Pomovirus,Virgaviridae,ssRNA(+),RefSeq,,,2,Sweden,Sweden,,,,,,ViralMultiSegProj14789
GCF_000850625.1,,"Herzog,E., Guilley,H., Manohar,S.K., Dollet,M., Richards,K., Fritsch,C., Jonard,G.",2015-02-12T16:43:36Z,,Peanut clump virus,Pecluvirus,Virgaviridae,ssRNA(+),RefSeq,,,2,,,,,,,,ViralMultiSegProj14776
GCF_000850145.1,,"Diao,A., Chen,J., Ye,R., Zheng,T., Yu,S., Antoniw,J.F., Adams,M.J.",2015-02-12T16:43:12.337Z,"Yantai, China",Chinese wheat mosaic virus,Furovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,,,,,,,,ViralMultiSegProj14694
GCF_000849985.1,,"Shirako,Y., Wilson,T.M.",2015-02-12T16:43:01.527Z,,Soil-borne wheat mosaic virus,Furovirus,Virgaviridae,ssRNA(+),RefSeq,,,1,,,,,,,,ViralMultiSegProj14661
