Host,Species,Assembly,SRA_Accession,Submitters,Release_Date,Isolate,Genus,Family,Molecule_type,Sequence_Type,Genotype,Segment,Publications,Geo_Location,Country,USA,Isolation_Source,Collection_Date,BioSample,GenBank_Title,Species_superkingdom,Species_family,Species_genus,Species_species,Species_no rank,Species_clade,Species_kingdom,Species_phylum,Species_class,Species_order,Species_subfamily,Host_no rank,Host_superkingdom,Host_kingdom,Host_phylum,Host_subphylum,Host_clade,Host_class,Host_order,Host_family,Host_subfamily,Host_tribe,Host_subtribe,Host_genus,Host_species,Host_subgenus,Host_section,Host_varietas,Host_superclass,Host_superorder,Host_suborder,Host_infraorder,Host_parvorder,Host_superfamily,Host_infraclass,Host_subclass,Host_subspecies,Host_strain,Host_cohort,Host_species group,Host_serogroup,Host_subsection,Host_subkingdom,Host_forma,Host_subcohort
Abelmoschus esculentus,Okra yellow crinkle Cameroon alphasatellite,GCF_000890495.1,NA,"Leke,W.N., Kvarnheden,A., Brown,J.K., Nkeabeng Leke,W.W.",2015-02-22T18:13:38Z,Lys1sp2,Gosmusatellite,Alphasatellitidae,ssDNA,RefSeq,NA,NA,NA,Cameroon:Lysoka,Cameroon,NA,NA,2008,NA,ViralProj61907,Viruses,Alphasatellitidae,Gosmusatellite,Okra yellow crinkle Cameroon alphasatellite,,,Viruses,,,,Geminialphasatellitinae,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Okra leaf curl Mali virus satellite DNA beta,GCF_000874105.1,NA,"Kon,T., Rojas,M.R., Abdourhamane,I.K., Gilbertson,R.L.",2015-02-13T08:39:07Z,NA,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,Mali: Bamako,Mali,NA,NA,NA,NA,ViralProj20323,Viruses,Tolecusatellitidae,Betasatellite,Okra leaf curl Mali virus satellite DNA beta,unclassified Betasatellite,,Viruses,,,,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Bhendi yellow vein India virus,GCF_000889575.1,NA,"Venkataravanappa,V., Lakshminarayana Reddy,C.N., Jalali,S., Krishna Reddy,M., Lakshiminarayanareddy,C.N., Devaraju, Swaranalatha,P., Krishnareddy,M.",2015-02-22T18:12:39Z,OYDWR2,Begomovirus,Geminiviridae,ssDNA(+/-),RefSeq,NA,NA,1,"India: Dharwad, Karnataka",India,NA,plant leaf,2006,NA,ViralProj61555,Viruses,Geminiviridae,Begomovirus,Bhendi yellow vein India virus,,Monodnaviria,Viruses,Cressdnaviricota,Repensiviricetes,Geplafuvirales,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Okra enation leaf curl virus,GCF_000887915.1,NA,"Venkataravanappa,V., Lakshminarayana Reddy,C.N., Jalali,S., Krishna Reddy,M., Lakshiminarayanareddy,C.N., Devaraju, Swaranalatha,P., Krishnareddy,M.",2015-02-22T18:10:53Z,EL37,Begomovirus,Geminiviridae,ssDNA(+/-),RefSeq,NA,NA,1,"India: Munthal, Haryana",India,NA,plant leaf,2006,NA,ViralProj61775,Viruses,Geminiviridae,Begomovirus,Okra enation leaf curl virus,,Monodnaviria,Viruses,Cressdnaviricota,Repensiviricetes,Geplafuvirales,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Okra leaf curl Oman betasatellite,GCF_002830125.1,NA,"Akhtar,S., Khan,A.J., Singh,A.S., Briddon,R.W.",2018-08-26T15:29:11Z,OKB-1,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,Oman: Barka,Oman,NA,plant leaf,2012,NA,ASM283012v1,Viruses,Tolecusatellitidae,Betasatellite,Okra leaf curl Oman betasatellite,,,Viruses,,,,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Mesta yellow vein mosaic alphasatellite,GCF_000899235.1,NA,"Hernandez-Zepeda,C., Sharma,A., Suescun-Bolivar,L.P., Brown,J.K.",2015-02-22T18:26:09Z,MeYVMVA[Okra:Ludhiana:2010],Gosmusatellite,Alphasatellitidae,ssDNA,RefSeq,NA,NA,NA,India,India,NA,NA,2010-07,NA,ViralProj174780,Viruses,Alphasatellitidae,Gosmusatellite,Mesta yellow vein mosaic alphasatellite,,,Viruses,,,,Geminialphasatellitinae,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Okra yellow vein disease associated sequence,GCF_000846465.1,NA,"Briddon,R.W., Bull,S.E., Amin,I., Idris,A.M., Mansoor,S., Bedford,I.D., Dhawan,P., Rishi,N., Siwatch,S.S., Abdel-Salam,A.M., Brown,J.K., Zafar,Y., Markham,P.G.",2015-02-12T16:38:44Z,NA,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,Egypt,Egypt,NA,NA,NA,NA,ViralProj14443,Viruses,Tolecusatellitidae,Betasatellite,Okra yellow vein disease associated sequence,unclassified Betasatellite,,Viruses,,,,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Okra yellow crinkle Cameroon alphasatellite,GCF_003034045.1,NA,"Leke,W.N., Kvarnheden,A., Brown,J.K., Nkeabeng Leke,W.W.",2018-08-26T16:16:44Z,Lys1sp3,Gosmusatellite,Alphasatellitidae,ssDNA,RefSeq,NA,NA,NA,Cameroon:Lysoka,Cameroon,NA,NA,2008,NA,ASM303404v1,Viruses,Alphasatellitidae,Gosmusatellite,Okra yellow crinkle Cameroon alphasatellite,,,Viruses,,,,Geminialphasatellitinae,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Okra enation leaf curl betasatellite,GCF_000891415.1,NA,"Venkataravanappa,V., Reddy,C.N., Swaranalatha,P., Jalali,S., Briddon,R.W., Reddy,M.K., Lakshiminarayanareddy,C.N., Krishnareddy,M.",2015-02-22T18:14:40Z,EL10,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,"India: Sonipat, Haryana",India,NA,plant leaf,2006,NA,ViralProj61781,Viruses,Tolecusatellitidae,Betasatellite,Okra enation leaf curl betasatellite,unclassified Betasatellite,,Viruses,,,,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
Abelmoschus esculentus,Bhendi yellow vein India betasatellite,GCF_000891395.1,NA,"Venkataravanappa,V., Reddy,C.N., Swaranalatha,P., Jalali,S., Briddon,R.W., Reddy,M.K., Lakshiminarayanareddy,C.N., Krishnareddy,M.",2015-02-22T18:14:39Z,OY164,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,"India: Aurangabad, Maharashtra",India,NA,plant leaf,2006,NA,ViralProj61557,Viruses,Tolecusatellitidae,Betasatellite,Bhendi yellow vein India betasatellite,unclassified Betasatellite,,Viruses,,,,,cellular organisms,Eukaryota,Eukaryota,Streptophyta,Streptophytina,Embryophyta,Magnoliopsida,Malvales,Malvaceae,Malvoideae,,,Abelmoschus,Abelmoschus esculentus,,,,,,,,,,,,,,,,,,,,
