Assembly,SRA_Accession,Submitters,Release_Date,Isolate,Species,Genus,Family,Molecule_type,Sequence_Type,Genotype,Segment,Publications,Geo_Location,Country,USA,Host,Isolation_Source,Collection_Date,BioSample,GenBank_Title
GCF_018583615.1,NA,"Liu,Z.",2021-06-01T16:41:50Z,Zz01,Emilia yellow vein Fujian betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,China: Fujian province,China,NA,Emilia sonchifolia,NA,2017-10-27,NA,ASM1858361v1
GCF_018582825.1,NA,"Akram,A., Briddon,R.W., Khan,A.H., Mansoor,S., Saeed,M.",2021-06-01T16:40:09Z,AA2,Codiaeum leaf curl betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,Pakistan,Pakistan,NA,Codiaeum variegatum,NA,2016-07,NA,ASM1858282v1
GCF_018582785.1,NA,"Tai,C.-H., Tsai,W.-S., Sharma,N., Chao,C.-H., Jan,F.-J.",2021-06-01T16:39:50Z,NA,Hibiscus vein enation betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,Taiwan: Changhua,Taiwan,NA,Hibiscus rosa-sinensis,NA,2013-11,NA,ASM1858278v1
GCF_018577755.1,NA,"Kumari,P., Chattopadhyay,B., Chakraborty,S.",2021-06-01T16:38:56Z,Ranchi,Tomato leaf curl Ranchi betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,India,India,NA,Solanum lycopersicum,NA,2007-12,NA,ASM1857775v1
GCF_002987855.1,NA,"Bull,S.E., Tsai,W.S., Briddon,R.W., Markham,P.G., Stanley,J., Green,S.K.",2019-06-28T15:04:40Z,NA,Ageratum yellow vein Sri Lanka betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,Sri Lanka,Sri Lanka,NA,Ageratum conyzoides,plant leaf,NA,NA,ASM298785v1
GCF_002987825.1,NA,"Pravin Kumar,P., Kaza,L.N., Jose,J., Usha,R.",2019-06-28T15:04:35Z,NA,Ageratum yellow vein India betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,India:Madurai,India,NA,Ageratum conyzoides,plant leaf,NA,NA,ASM298782v1
GCF_002830505.1,NA,"Fiallo-Olive,E., Tovar,R., Navas-Castillo,J.",2019-06-28T14:58:27Z,603N1,Tomato yellow leaf distortion deltasatellite 2,Deltasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,Cuba,Cuba,NA,Sidastrum micranthum,NA,2011-12,NA,ASM283050v1
GCF_002830485.1,NA,"Fiallo-Olive,E., Martinez-Zubiaur,Y., Moriones,E., Navas-Castillo,J., Martinez,Y.",2019-06-28T14:58:22Z,404N1,Tomato yellow leaf distortion deltasatellite 1,Deltasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,Cuba,Cuba,NA,Sidastrum micranthum,NA,2010-09,NA,ASM283048v1
GCF_002830465.1,NA,"Rosario,K., Marr,C., Varsani,A., Kraberger,S., Stainton,D., Moriones,E., Polston,J.E., Breitbart,M., Seah,Y.M., Duffy,S.",2019-06-28T14:58:18Z,PR3-2,Sweet potato leaf curl deltasatellite 3,Deltasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,Puerto Rico,USA,PR,unidentified plant,pooled insects,2010-11,NA,ASM283046v1
GCF_002830445.1,NA,"Fiallo-Olive,E., Martinez-Zubiaur,Y., Moriones,E., Navas-Castillo,J., Martinez,Y.",2019-06-28T14:58:14Z,412N1,Sida golden yellow vein deltasatellite 3,Deltasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,Cuba,Cuba,NA,Malvastrum coromandelianum,NA,2010-09,NA,ASM283044v1
GCF_002830425.1,NA,"Fiallo-Olive,E., Martinez-Zubiaur,Y., Moriones,E., Navas-Castillo,J., Martinez,Y.",2019-06-28T14:58:09Z,228H1,Sida golden yellow vein deltasatellite 2,Deltasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,Cuba,Cuba,NA,Malvastrum coromandelianum,NA,2009,NA,ASM283042v1
GCF_002830405.1,NA,"Fiallo-Olive,E., Martinez-Zubiaur,Y., Moriones,E., Navas-Castillo,J., Martinez,Y.",2019-06-28T14:58:06Z,H1,Sida golden yellow vein deltasatellite 1,Deltasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,1,Cuba,Cuba,NA,Malvastrum coromandelianum,NA,2009,NA,ASM283040v1
GCF_004131285.1,NA,"Zhao,L.L., Ding,M., Zhong,J., Yin,Y.Y., Zhang,X.Y., Li,T.T.",2019-02-12T15:25:55Z,YN4980,Tomato leaf curl Yunnan betasatellite,Betasatellite,Tolecusatellitidae,ssDNA,RefSeq,NA,NA,NA,China: Yunnan,China,NA,Solanum lycopersicum,NA,2015-12-10,NA,ASM413128v1
